content	label_manual	scores	compound	negatif	netral	positif	label_vader
An awful app. Constantly freezing. Audio an issue, playback and niose echo. Sharing your screen is a joke. A waste of time. This app is a joke! I would give it 0 stars Ã°Å¸Å’Å¸ if I could. I won't be deleting or changing this review unless a proper update is created. this app has not been helpful at all	N	{'neg': 0.14, 'neu': 0.728, 'pos': 0.131, 'compound': -0.1591}	-0.1591	0.14	0.728	0.131	N
This is the worst app ever. I am having multiple problems with this app. 1) When I am attending my class, after just attending 10 minutes of my class my battery gets really hot. 2) After 30 minutes of attending the class, my battery will be 50 percent if I had 100 percent before attending the class. ( My phone is Galaxy m01) 3) Zoom takes up a lot of data. If I have a class that lasts 30 minutes or at the most 40 minutes, a message would pop up saying your data pack is over. I have 1.5 GB/day	N	{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.7783}	-0.7783	0.064	0.936	0.0	N
When I updated it gets worst. But when I try to join it shows connection error and I am a student. I am not able to attend my important lectures . My teachers are also facing this issues . Try to solve it as fast as possible . It is getting worse day by day . Now when I join a meeting after video options it shows connecting and ultimately says that it couldn't connect .	N	{'neg': 0.115, 'neu': 0.773, 'pos': 0.112, 'compound': -0.3071}	-0.3071	0.115	0.773	0.112	N
This is very bad app It is very irritating to reconnect again and again . I have a very strong network connection but I can not hear the voice it break downs during the meeting .if there was.a option of zero star I would definitely give . And it can only see 4 people at a time so wanted more persons to whom we can see in on one screen.	N	{'neg': 0.059, 'neu': 0.864, 'pos': 0.077, 'compound': 0.319}	0.319	0.059	0.864	0.077	P
I don't really recommend this app. This app has a lot of glitches which is down not let me in to meetings and more. This app is pretty bad to use, especially if you're trying to join a zoom meeting. This glitch I'm talking about is whatever I tried putting the correct passcode like 30 times it's always says that not the correct passcode. This glitch is really annoying. There are other glitches but this review be too long if I talk about them. So yeah I don't recommend	N	{'neg': 0.087, 'neu': 0.82, 'pos': 0.094, 'compound': 0.1716}	0.1716	0.087	0.82	0.094	P
The reason I have given this app 1 star is the recent update since I have updated the app whenever I try to freeze my video this app automatically turns the camera off. Due to this I'm several times removed from the meeting. When I check the participants list it then too shows my camera off even if my camera is switch on	N	{'neg': 0.0, 'neu': 0.981, 'pos': 0.019, 'compound': 0.0516}	0.0516	0.0	0.981	0.019	P
Very bad app. The first version was actually quite good,But the updates are slowly making it worse. There is always some or the other error or problem in joining the meetings. As a student due to these errors I can't join my classes and it frustrates me a lot,I am also far behind my course all thanks to this app Kindly fix these problems immediately	N	{'neg': 0.266, 'neu': 0.66, 'pos': 0.073, 'compound': -0.9335}	-0.9335	0.266	0.66	0.073	N
Terrible, unresponsive app. UI didn't work properly. Had to hang up and close out like 4 times just to get my doctor to hear me tell them my info so they could call me by phone. Absolutely do not recommend. Use discord or Google meet - they actually work. (Pixel 5, gigabit connection)	N	{'neg': 0.092, 'neu': 0.827, 'pos': 0.08, 'compound': -0.1817}	-0.1817	0.092	0.827	0.08	N
Lags way too often, I have to use zoom for educational purposes, it really sucks. Whenever I try to re-open the app for classes, it logs me out and unregisters me. It takes me an extra 20 minutes just to log in. When I get in the meeting, the audio quality is HORRIBLE. Everyone's voices pauses because of the lag, fix this, PLEASE.	N	{'neg': 0.163, 'neu': 0.795, 'pos': 0.042, 'compound': -0.8357}	-0.8357	0.163	0.795	0.042	N
The app was working fine until a couple of days back, then I updated it on both my devices and I'm stuck at the sign in stage. It's simply not functioning; I'm unable to sign in. It's showing a network issue constantly, but network is working fine with all other apps. Why only zoom and why after updating? Please fix this issue.	P	{'neg': 0.023, 'neu': 0.878, 'pos': 0.099, 'compound': 0.6187}	0.6187	0.023	0.878	0.099	P
I've had this issue for a while now, My issue is that it keeps kicking me out of the app and in turn also my zoom meatings and I've gotten in truble so many times beacause of it so if they don't fix it I'm gonna screen record my next session and send it to my teachers because zoom is a no go at this point.	N	{'neg': 0.033, 'neu': 0.967, 'pos': 0.0, 'compound': -0.296}	-0.296	0.033	0.967	0.0	N
Awful experience There's lots of bugs and glitches and not because I have a low end device, I use a galaxy 10 and an iPad and still get kicked out and audio issues. One of my major complaints is how there's no way you can record your meeting on ipad or phone. MAJOR OVERSIGHT. I wish schools would not use this app. Would not recommend.	N	{'neg': 0.165, 'neu': 0.786, 'pos': 0.048, 'compound': -0.7769}	-0.7769	0.165	0.786	0.048	N
"l always get problems like when l am in class it gets disconnected. l always get this problems. We all the students depend on this app in the time of ""CORONA"".Our teachers take classes through zoom app.If someone does n't join in class then he or she doesnt get promotion .Sometimes if it gets disconnect and when l try to join again and l click "" Back to meeting "" it shows ""Connecting"""	N	{'neg': 0.085, 'neu': 0.697, 'pos': 0.218, 'compound': 0.8998}	0.8998	0.085	0.697	0.218	P
I know it is a very nice app,but all peoples are facing problems of network, video quality sound,quality etc.But my problem is that when I on the video and goes in participant list,the video always automatically gets off.And also video quality is bad this my problems,so please give a new update for,next time I could give you 5 stars.Ã°Å¸ËœÅ Ã°Å¸ËœÅ  So please please please please!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Ã°Å¸â„¢ÂÃ°Å¸â„¢Âfix these issues for giving you 5 starsÃ¢Â­ÂÃ°Å¸Å’Å¸Ã¢Â­ÂÃ¢Â­ÂÃ¢Â­Â.....	P	{'neg': 0.097, 'neu': 0.717, 'pos': 0.186, 'compound': 0.8017}	0.8017	0.097	0.717	0.186	P
I hate this damn app. Always close the meeting when the meeting is going on. Can't get a stable connection. Add more time limit. And i cant hear the audio neatly and also video is not also stable. Fix thisssss. And I always getting invalid email or password even if typed my password and email neatly worst app ever seen. I wanted to give half star but the option is not available.	N	{'neg': 0.126, 'neu': 0.831, 'pos': 0.043, 'compound': -0.6652}	-0.6652	0.126	0.831	0.043	N
I am using zoom app since the pandemic starts. It is very good app since the latest update. Before some days, zoom gave a new update I am facing a lot of issue. I on my camera but When I went to participant list my camera seems off. Because of this, my attendance for 10th standard is affecting. Please reply me and solve this bugs and problem as soon as possible because lot of students are facing this problem.	N	{'neg': 0.087, 'neu': 0.832, 'pos': 0.081, 'compound': -0.3593}	-0.3593	0.087	0.832	0.081	N
Some problems are there that make this app a little poor. 1) The device gets heated off very fast and battery drainage is also high. 2) It says to check the internet connection. 3) It is now usual to get out of the meeting.	N	{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.6712}	-0.6712	0.116	0.884	0.0	N
This is really not a very good app. It is always saying 'an unknown error occurred'. And whenever I do floating windows or split screen my video doesn't come full. And whenever I go to the participants my video turns off. I'm sorry for just giving one star.	N	{'neg': 0.125, 'neu': 0.83, 'pos': 0.045, 'compound': -0.4978}	-0.4978	0.125	0.83	0.045	N
There's something very important lacking with the Zoom app... In Skype for example, I'm able to use my mobile with my notebook simultaneously, like, I use my Mobile's camera/microphone together with my outdated notebook keyboard (just for the typing if needed), and all of it in one profile... Everything works so perfectly with Skype that people have no idea that I'm using my mobile along with a notebook on interviews... Why can't zoom work this?	P	{'neg': 0.026, 'neu': 0.854, 'pos': 0.12, 'compound': 0.8298}	0.8298	0.026	0.854	0.12	P
The worst app ever seen Ã°Å¸ËœÂ£. I've to use it due to its popularity, which is very terrible. It disconnects me automatically from the class. That sucks. I must have faced around 100 disconnects by now. Suddenly, it changed my settings automatically, signed me out even without asking. Wouldn't recommend. Ã°Å¸ËœÂ£Ã°Å¸Ëœâ€“Ã°Å¸ËœÂ©Ã°Å¸ËœÂ«Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¤Ã°Å¸ËœÂ  Just terrible! Hope I could give 0 stars. It doesn't even deserve a single star.	N	{'neg': 0.165, 'neu': 0.739, 'pos': 0.096, 'compound': -0.7624}	-0.7624	0.165	0.739	0.096	N
Useless app. It works fine but if you enter through lap or comp and you are not connected to data than you wont will be allowed to join till 45 min,it doesnt matter than if you connect it with data or restart your pc or lap. These bugs irritated me a lot. Useless app maker and developer and in new update if you go on other screen while zoom is Proceding than your video will be turned off automatically. Useless app	N	{'neg': 0.156, 'neu': 0.799, 'pos': 0.045, 'compound': -0.881}	-0.881	0.156	0.799	0.045	N
The vedios keep pausing. The receiving person couldnt hear my voice. Even there is full network connection it shows that the network connection is unstable. The audio of the opposite person keeps breaking and even sometimes I just can't hear anything from the opposite side even if the person is speaking something I've reported these problems several times but there is no improvement in the app. I prefer Microsoft teams app instead of the zoom app. Very Bad app .Needs improvement Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸â€˜Å½Ã°Å¸â€˜Å½Ã°Å¸â€˜Å½.	N	{'neg': 0.129, 'neu': 0.828, 'pos': 0.043, 'compound': -0.7911}	-0.7911	0.129	0.828	0.043	N
It is a ridiculous and frustrating app. After the new update I cannot join easily to audio. after writing a mail they do not take action. I am a student and unable to join my online classes due to on mic it says join audio and after tap nothing happens.	N	{'neg': 0.162, 'neu': 0.762, 'pos': 0.076, 'compound': -0.6025}	-0.6025	0.162	0.762	0.076	N
If I turn my volume off then enter a meeting, I've done so for a reason. This app has no business turning the volume up, unasked, for no reason. What utter garbage. It's a fairly basic concept to ask a user before making changes to settings, since chances are the user set something for a reason. Garbage app.	N	{'neg': 0.072, 'neu': 0.899, 'pos': 0.029, 'compound': -0.3818}	-0.3818	0.072	0.899	0.029	N
Tried Zoom for the first time tonight for a quiz with a group of friends and it was dire. Video kept freezing. Sound was poor. Was unable to find the setting to allow all participants to appear on screen at once. Zoom abruptly stopped the meeting before time and a new meeting had to be arranged quickly to complete our quiz. And before you ask, I am computer literate and am able to operate most software competently and intuitively. Not Zoom. Uninstalling and will be going back to WhatsApp	N	{'neg': 0.097, 'neu': 0.852, 'pos': 0.051, 'compound': -0.5267}	-0.5267	0.097	0.852	0.051	N
Broke my camera and light Installed this 5 days ago to test another phone's audio. My backlight got greyed out from the pull down menu on the Moto z3 play and camera said error on the rear camera selfie camera only worked. In safe mode noted rear camera and light working. Uninstalled this app : boom, camera and backlight working again.	N	{'neg': 0.081, 'neu': 0.841, 'pos': 0.078, 'compound': -0.0516}	-0.0516	0.081	0.841	0.078	N
I started using this app from the start of the pandemic.Previously the app was good but after the latest update the was a problem. If I turn on my camera and view my participants list it shows that my camera was turned off. Due to this issue I was being kept in the waiting room.Please fix this issue as early as possible.	N	{'neg': 0.054, 'neu': 0.916, 'pos': 0.03, 'compound': -0.3818}	-0.3818	0.054	0.916	0.03	N
"Not happy at all... My mobile device keeps freezing in the middle of a Zoom meeting causing me to close my browser repeatedly. This is not acceptable...my position is ""remote"", so connectivity to Zoom and Microsoft Teams is imperative. Below are my device details: - Samsung Galaxy M30.uaing Android version 10 -Google Chrome - Microsoft Edge (latest browser Chromium) - iPad (iOS 14.2) Try to rectify this issue, as of now, I've uninstalled the Zoom app and now using MS Teams"	N	{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.5264}	-0.5264	0.053	0.947	0.0	N
Make it so that the app respects the device rotation lock, cause even when it's locked in portrait, the meeting rotates when u turn the phone. Also please add support for Picture in Picture, so we can have the meeting visible while we open a document or something else. Add shortcuts when you long-press the app icon on the home screen. Make the navigation bar transparent in meeting	P	{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.743}	0.743	0.0	0.899	0.101	P
I am not able to connect... I report this problem but I didnt got any feedback... It shows connecting... But I am not able to connect... Pls do something related joining... It's really luck by chance app... If our luck then it will work or else not...i found one more problem my mic is not working.... Pls do something...	P	{'neg': 0.102, 'neu': 0.721, 'pos': 0.177, 'compound': 0.7506}	0.7506	0.102	0.721	0.177	P
Worst app!! Hangs and I'm forced to use it Google meet is a million times better than zoom!! Why do I need to pay when I use ur app for extending limit!!? Lol! Just rubbish. Also lots of glitches and sound problem meeting is just worst! Pls don't download this and give it the worst ratings you have! Thanks for such a bulls*i* app!	N	{'neg': 0.244, 'neu': 0.639, 'pos': 0.117, 'compound': -0.913}	-0.913	0.244	0.639	0.117	N
Suddenly I can't login using my Facebook account. Access denied! Dunno why. I try to login with email and password. I forget my password because usually I am using my FB account. So, I used forgot password option. The email I received insist that I should login with Facebook. So stupid! And the support service always take so long (and no solution from the 1st time experience using it).	N	{'neg': 0.149, 'neu': 0.801, 'pos': 0.05, 'compound': -0.8293}	-0.8293	0.149	0.801	0.05	N
Whenever join, says network connection error. your people network connection is unstable and displays in ours. I too have a lot of screen shot saying your network is unstable. I am never able to join classes and not attend lectures just beacuse the error	N	{'neg': 0.234, 'neu': 0.724, 'pos': 0.042, 'compound': -0.8437}	-0.8437	0.234	0.724	0.042	N
Zoom is NOT user friendly! One time it sent me in a circular trip when I tried to join a meeting--from asking my password to having no active button on which to click back to asking my pwd. Another time, I was automatically joined, dunno why. Then, I was confounded by how to navigate within the meeting...all the choices meant nothing so I rattled around trying to be in sync with what the meeting leader was saying or showing some PowerPoint. Then, I simply was a fool and gave up.	N	{'neg': 0.084, 'neu': 0.893, 'pos': 0.023, 'compound': -0.7076}	-0.7076	0.084	0.893	0.023	N
it is too much in size 90mb is very big file that waste a lot of ram and rom .Every app try to show all in one but why.Each app try to make its video player,pdf reader, messages,audio call why.It does not porpuse of this app.there shoud be only video metting only.we use this app 2 or 3 time in 1 month.so user must be option like zoom lite or normal use.but there is only 90mb and use 300mb ram of mobile	N	{'neg': 0.022, 'neu': 0.94, 'pos': 0.038, 'compound': 0.3291}	0.3291	0.022	0.94	0.038	P
I'm unable to connect the meeting even though my net is working smoothly. At first, I felt the problem is occuring due to bad connection but that was not the problem. I tried join the meeting more than 5 times... But alas! I was not able to!!! Please see into it as early as possible	N	{'neg': 0.159, 'neu': 0.753, 'pos': 0.087, 'compound': -0.5682}	-0.5682	0.159	0.753	0.087	N
Worst of all. I am a student.I am using this app for last 6 months.It has given me alot of troubles. When I join in participants list it shows that my video is off but my video is on,this happened in mobile.In my laptop, when I try to start my video it says that this program is not responding.It is such a irratating and not securitized so for me this zoom cloud meeting app get only a single star Ã°Å¸Â¤Â¨Ã°Å¸ËœÂ¡.Very bad app.Please fix the problem.So please fix this problem that i can give it 5stars	N	{'neg': 0.143, 'neu': 0.815, 'pos': 0.042, 'compound': -0.8969}	-0.8969	0.143	0.815	0.042	N
I have been using this app for few months but there has some problems in it. Though I turned my video on and it appears on my screen but it shows my video is not on in others screen. So, my teacher is removing me from the zoom class. I had never given reviews to others but it is my first reviews with complaints. Please fix this problems fast.	N	{'neg': 0.135, 'neu': 0.827, 'pos': 0.038, 'compound': -0.8271}	-0.8271	0.135	0.827	0.038	N
The app overall is good, but I have a problem. Even if my video is on, in the particip ant's list it shows off. Its been happening for the past few weeks. Please fix it	P	{'neg': 0.088, 'neu': 0.791, 'pos': 0.121, 'compound': 0.09}	0.09	0.088	0.791	0.121	P
When I need to create a account on it so I can create a meeting it doesn't allow me to I right in everything I asks me too but it doesn't allow me, the button just stays grey I can't click it, I do not know what it is so you just need to fix that because it really annoys me and probably a lot of other people	N	{'neg': 0.101, 'neu': 0.838, 'pos': 0.061, 'compound': -0.6046}	-0.6046	0.101	0.838	0.061	N
It did not ask me to set a password, then demanded the password in order to log in. It uses the hideous Captcha with the tiny pictures where you can't see if there is a traffic light or not. Not impressed so far!	N	{'neg': 0.042, 'neu': 0.904, 'pos': 0.054, 'compound': 0.1386}	0.1386	0.042	0.904	0.054	P
Very bad for me I was in the meeting and it closed automatically two times and after that I tried to enter the room it was not allowing me to enter the room and showing that no space left. But I was already in the meeting and it automatically closed whats my fault . Today's my class have been cancelled and I will be marked has absent just because of this problem plz increase the amount of students at least abto180.	N	{'neg': 0.154, 'neu': 0.799, 'pos': 0.047, 'compound': -0.87}	-0.87	0.154	0.799	0.047	N
Zoom overall as a platform is ok, and I would have given it three stars. However their customer service and support is some of the worst I've ever dealt with for any product. Also the platform overall his incompatible with some interfaces on the internet.	N	{'neg': 0.082, 'neu': 0.863, 'pos': 0.054, 'compound': -0.34}	-0.34	0.082	0.863	0.054	N
Great app, but the gallery view on my Samsung Galaxy S7 tablet only displays 4 speakers, not the full gallery I had on my laptop. The app seems to think its a phone. If you can fix this bug, I'll happily give it five stars.	P	{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.8151}	0.8151	0.0	0.852	0.148	P
From last two days iTs annoying. I can't even join a meeting. They show me unable to connect. They ask in sing in again and again.	N	{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.5556}	-0.5556	0.16	0.84	0.0	N
I am facing a lot of problems for some days. I am trying to sign in but it shows invalid password or email. And after that when I click any link to join a meeting it shows me incorrect password every time. But now i am facing a lot of problems.	N	{'neg': 0.096, 'neu': 0.854, 'pos': 0.05, 'compound': -0.3818}	-0.3818	0.096	0.854	0.05	N
I really wish my school didn't choose zoom for all the video chats. There have been multiple times where the audio didn't work at all and I couldn't hear my teacher, and sometimes it will randomly kick me out. Why is everyone using this? Pretty much any competitor has less technical issues.	P	{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.7746}	0.7746	0.0	0.881	0.119	P
Worst. It will ask me to log in despite i may have used it even couple of hours back. And the Murphy's law clearly plays with me as it will without fail ask me to re-login in all my important meetings leading me to a delay of couple of minutes. Sick of this now. Not exaggerating.	N	{'neg': 0.141, 'neu': 0.7, 'pos': 0.158, 'compound': -0.21}	-0.21	0.141	0.7	0.158	N
This app was good but I encountered an incredibly annoying problem. When I try to join a call, it says connect to audio over internet and theres nothing i can do to fix it. I called zoom support but they said due to covid we cant answer the phones. So if they fix this I will raise my rating but until then, this app sucks	N	{'neg': 0.143, 'neu': 0.752, 'pos': 0.106, 'compound': -0.6003}	-0.6003	0.143	0.752	0.106	N
I can't use virtual background in my Android 10 version. It is a main bug of this app because the number of Android users is the highest among smartphone users. So, this facility should be included in the Android version.	N	{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.0772}	0.0772	0.0	0.968	0.032	P
Very bad app. It is overheating my device.this can't remember my name for every meeting.This app's video quality is worse than any meeting app. This app hang my phone in every meeting.I am unable to join any meeting in zoom in couple of days,even my internet speed is in Mbps. If there is the option of 0 star so I can give 0 star to this app,but there isn't option so i can give 1 star. Overall, it is worst app,I have ever seen in my life.This is garbage for me. Thanks Ã°Å¸ËœÂ¤Ã°Å¸ËœÂ¤Ã°Å¸ËœÂ¤Ã°Å¸ËœÂ Ã°Å¸ËœÂ  Ã°Å¸ËœÂ Ã°Å¸ËœÂ Ã°Å¸ËœÂ¤!!!!!!!	N	{'neg': 0.111, 'neu': 0.842, 'pos': 0.047, 'compound': -0.8427}	-0.8427	0.111	0.842	0.047	N
My video is showing turned off in participants list. I'am a student and I am using it for my online classes from the COVID - 19 Pandemic. Many of my classmates are facing the same problem I think so. So My issue is that the video showing that I turned off. That's the reason for the rating of 1 star. -Mugundh.S -	N	{'neg': 0.042, 'neu': 0.958, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.042	0.958	0.0	N
Very bad quality app i will never ever recommend anyone to download this app. This app caused me problem in my online classes my network is good but it still shows that my network is unstable but when i go to another app every thing works fine and worst thing is that because of update whenever we go to participants list video gets off. Most important thing is whenever i go to another app my video gets off. Older app was good.please try to improve these type of silly issues. Please zoom	N	{'neg': 0.133, 'neu': 0.733, 'pos': 0.133, 'compound': -0.2411}	-0.2411	0.133	0.733	0.133	N
I cant even sign up it constantly shows the message that you are not eligible for joining. This app was good but now it has became a pain in the ass. Please fix the issue or the ratings are gonna go way down.	N	{'neg': 0.173, 'neu': 0.734, 'pos': 0.092, 'compound': -0.743}	-0.743	0.173	0.734	0.092	N
Very bad experience. Issues with muting microphone not working, stuck in safe driving mode--and I wasnt even driving! I could see everyone at the party but couldnt participate. This was my Granddaughter's 2nd birthday. Very upsetting.	N	{'neg': 0.168, 'neu': 0.713, 'pos': 0.119, 'compound': -0.6259}	-0.6259	0.168	0.713	0.119	N
While using the application the battery is draining very fast , also it make the phone too hot very fast , make the phone lag ,My mobile has good network but than also it show please check your network connection , please solve these issue Otherwise it is the best app for online classes and meeting .	P	{'neg': 0.025, 'neu': 0.744, 'pos': 0.231, 'compound': 0.9343}	0.9343	0.025	0.744	0.231	P
Dozens of bugs, no one can hear my voice and no one can see me even though I have my camera on, please fix this I'm a bit frustrated right now, also fix your website, I also encountered a forever glitch such as nobody can hear meÃ°Å¸ËœÂ Ã°Å¸ËœÂ Ã°Å¸ËœÂ Ã°Å¸â€˜Å½Ã°Å¸â€˜Å½Ã°Å¸â€˜Å½	N	{'neg': 0.139, 'neu': 0.82, 'pos': 0.041, 'compound': -0.6705}	-0.6705	0.139	0.82	0.041	N
It is very good app for School Online Classes. It had good video and camera quality but the virtual background in my Android phone (Vivo V9) is not working and It is working in my another Android phone, Please check this issue and I have sent many reports on this. It is present in IOS and Laptops and more. The new update is amazing. There were only 2 reactions and now there are 6 reactions. The Dark Mode Support is very nice. Sound Quality is also nice. That's Why I rated this app 4 stars.	P	{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.9738}	0.9738	0.0	0.789	0.211	P
Since I have updated the app, there is a lot of problems I can't hear the audio clearly what other r saying and automatically it will be coming back by showing reconnecting. And even the video is on but for the host it showing video s off.. Not nice ap	N	{'neg': 0.09, 'neu': 0.875, 'pos': 0.034, 'compound': -0.4585}	-0.4585	0.09	0.875	0.034	N
Zoom should add a facility on next update which is lock screen while in the meeting such as we saw this feature on mx player while watching movies for avoiding unexpected touch on the screen....in zoom in the meeting period sometimes the camera or mics start on by unexpected touch && makes an uncomfortable situation....zoom should add this feature...If they add this...I will give 5 Ã¢Â­Â	N	{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.6124}	-0.6124	0.072	0.928	0.0	N
Virtual backgrounds do not work. I have the proper versions of Zoom and Android, and an approved phone manufacturer (Samsung), but the feature isn't available to me. There's no indication of why it's not available, either.	N	{'neg': 0.072, 'neu': 0.879, 'pos': 0.049, 'compound': -0.2263}	-0.2263	0.072	0.879	0.049	N
Plz fix the video issue plz don't make the video off when someone leaves the zoom and in on another application. When we are having online exams the teachers are sending link to us and as soon as we are opening the link at chrome instead of video pausing it makes it totally off and for that teacher are scolding us to on our videos.... Plzz do something of it. It was good as it was earlier the video was still and the teacher was also not complaining	P	{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.6239}	0.6239	0.0	0.922	0.078	P
If I could give this no stars, I would. My wifi is working perfectly, but everything keeps glitching out. The audio barely works, and it's the same for video.	N	{'neg': 0.056, 'neu': 0.861, 'pos': 0.083, 'compound': 0.2144}	0.2144	0.056	0.861	0.083	P
Very disapointing app we couldnt hear each othe then it dropped me. When I got back in, all they could see was the floor; very curoius since the camea is on the topbit will dilm the bottom. . Not remarkable in the least. Cant say how you earned a 3. 6 Rating. ...	N	{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.4449}	-0.4449	0.053	0.947	0.0	N
The Privacy is worded so shadily I feel like you need to be a lawyer to understand this. Not only is it lengthy but the opt-out option is just text not a button to opt out. This make it very hard to trust the app/program.	N	{'neg': 0.04, 'neu': 0.829, 'pos': 0.13, 'compound': 0.6763}	0.6763	0.04	0.829	0.13	P
Earlier it was a nice app but nowadays it has many when host ask me for unmute I am unable to unmute and when I am in full network then also the meeting disconnects automatically and the mobile gets hang many time so please make some features that can help to to use the zoom easily and and whenever I try to join the audio I cannot hear what the host speaking so please resolve the problem	P	{'neg': 0.037, 'neu': 0.721, 'pos': 0.242, 'compound': 0.9617}	0.9617	0.037	0.721	0.242	P
Most of the time I can't get into my lecture. Sometimes it ends on its own. Mostly it's show report problem if we report there no change made in it.	N	{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5994}	-0.5994	0.149	0.851	0.0	N
From many days I'm experiencing gherse problems : when I get any whatsapp zoom invite link and I try to open that I get a launch meeting button when I press on that it shows the zoom logo and then it automatically comes back to where it started (launch meeting)	N	{'neg': 0.052, 'neu': 0.918, 'pos': 0.031, 'compound': -0.2732}	-0.2732	0.052	0.918	0.031	N
